id,label,numFollowers
@nicktubechannel,@nicktubechannel,2095
@BurginSue,@BurginSue,1136
@chaoserebegaia,@chaoserebegaia,1741
@YoSoyDanielH,@YoSoyDanielH,28743
@BaraWeber,@BaraWeber,370
@mecaregiver,@mecaregiver,607
@FinancialXpress,@FinancialXpress,790599
@NHS_NELCCG,@NHS_NELCCG,677
@medexit,@medexit,3376
@mopoohm,@mopoohm,37
@KatieM12121,@KatieM12121,3429
@ElizaCharley,@ElizaCharley,2851
@RestedIn,@RestedIn,587
@WSWMUC,@WSWMUC,12141
@SuxHypocrisy,@SuxHypocrisy,5967
@cgtnenespanol,@cgtnenespanol,588200
@porschespider,@porschespider,718
@HappyHoundHouse,@HappyHoundHouse,1913
@UVic_FCSB,@UVic_FCSB,1963
@Vicmunro,@Vicmunro,22063
@Esosa_CA_Films,@Esosa_CA_Films,6458
@FOAMecmo,@FOAMecmo,9917
@kellybullad,@kellybullad,11759
@DrJenHo,@DrJenHo,6408
@Bhekisisa_MG,@Bhekisisa_MG,21274
@stfrt3,@stfrt3,3393
@ElijahSchaffer,@ElijahSchaffer,426717
@WitnessIAm,@WitnessIAm,1797
@USAIDCambodia,@USAIDCambodia,8169
@lizsawatzky,@lizsawatzky,84
@MDedgeNeurology,@MDedgeNeurology,18595
@itskindavinny,@itskindavinny,706
@Minsa_Peru,@Minsa_Peru,1175223
@tweetheart4711,@tweetheart4711,3565
@bluewater_61,@bluewater_61,225
@khaleejtimes,@khaleejtimes,855706
@Cicmty,@Cicmty,253216
@RFA_UyghurNews,@RFA_UyghurNews,4413
@BrunoCapra1,@BrunoCapra1,2259
@ZeeNews,@ZeeNews,6365699
@StrategickeM,@StrategickeM,1766
@POSUTtRUmp,@POSUTtRUmp,1025
@TomHedrup,@TomHedrup,2473
@WalkerBragman,@WalkerBragman,60436
@SouthCambs,@SouthCambs,12266
@Northvein,@Northvein,2222
@SaundiD,@SaundiD,61830
@HumAngle_,@HumAngle_,43901
@takeshi_kasai,@takeshi_kasai,7869
@midgov,@midgov,17562
@fattoquotidiano,@fattoquotidiano,2144274
@lammas_leaves,@lammas_leaves,1091
@canadabusiness,@canadabusiness,176609
@GuardianNigeria,@GuardianNigeria,2359628
@RaskinSalmo,@RaskinSalmo,853
@Shashwat_Aman,@Shashwat_Aman,153
@coachdefitness,@coachdefitness,11550
@DESURVallesDelT,@DESURVallesDelT,913
@workpointTODAY,@workpointTODAY,293821
@powerglobalus,@powerglobalus,21947
@CaritoViena,@CaritoViena,608
@CEDE_Mex,@CEDE_Mex,7202
@AudetteBonnie,@AudetteBonnie,1401
@susanoconn,@susanoconn,920
@BCECC,@BCECC,302
@marty888nyc,@marty888nyc,2259
@aajtak,@aajtak,17050709
@UniverseTravelG,@UniverseTravelG,578
@mactavish,@mactavish,4590
@cingolani_oscar,@cingolani_oscar,21219
@Esther_NW,@Esther_NW,322
@Libero_Giorgio1,@Libero_Giorgio1,695
@antoniopanda09,@antoniopanda09,513
@ZShaheenMdPhD,@ZShaheenMdPhD,554
@model_daughters,@model_daughters,19618
@monknim,@monknim,898
@syldube47,@syldube47,4765
@toothpik101,@toothpik101,880
@RealKPenceNotSL,@RealKPenceNotSL,3881
@longcovidfdn,@longcovidfdn,1055
@AurelianoStingi,@AurelianoStingi,21503
@mspanish,@mspanish,885
@HSCA,@HSCA,3044
@CDCInteligencia,@CDCInteligencia,1862
@Abingdon_Health,@Abingdon_Health,2895
@joancmarch,@joancmarch,41410
@EuromaidanRev,@EuromaidanRev,6
@cottagelife,@cottagelife,18490
@LiveAdalat,@LiveAdalat,44466
@GriffithNursing,@GriffithNursing,998
@Chester77670382,@Chester77670382,120
@thedragonchats,@thedragonchats,1298
@Dry_Tinder2,@Dry_Tinder2,551
@ProfDTSchneider,@ProfDTSchneider,5762
@ImparcialOaxaca,@ImparcialOaxaca,136441
@LeilaniAthenai1,@LeilaniAthenai1,210
@danaparish,@danaparish,9998
@MagneticMan__24,@MagneticMan__24,2741
@NewsOnAppleBR,@NewsOnAppleBR,235
@kanyamapilina,@kanyamapilina,392
@NSWHealth,@NSWHealth,325006
@UbuLoca,@UbuLoca,393
@ASTNA2,@ASTNA2,729
@mefreidel,@mefreidel,59
@TiempoRealEC,@TiempoRealEC,19612
@MiRadiols,@MiRadiols,42051
@MuseWendi,@MuseWendi,27484
@fizzbin88,@fizzbin88,2611
@CDBDSF,@CDBDSF,2933
@johndowe49,@johndowe49,3233
@blackiowanews,@blackiowanews,1807
